name,description,ratings,seller,users,industries,link,category
Salesforce Sales Cloud,,4.4, Salesforce,"['Account Executive', 'Account Manager', 'Account Executive', 'Account Manager']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/salesforce-salesforce-sales-cloud/reviews,crm
HubSpot Sales Hub,,4.4, HubSpot,"['Account Executive', 'Sales Development Representative', 'Account Executive', 'Sales Development Representative']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/hubspot-sales-hub/reviews,crm
Pipedrive,,4.3, Pipedrive,"['CEO', 'Sales Manager', 'CEO', 'Sales Manager']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/pipedrive/reviews,crm
Close,,4.7, Close,"['CEO', 'Founder', 'CEO', 'Founder']","['Marketing and Advertising', 'Computer Software', 'Marketing and Advertising', 'Computer Software']",https://www.g2.com/products/close/reviews,crm
ActiveCampaign,,4.5, ActiveCampaign,"['Owner', 'CEO', 'Owner', 'CEO']","['Marketing and Advertising', 'Health, Wellness and Fitness', 'Marketing and Advertising', 'Health, Wellness and Fitness']",https://www.g2.com/products/activecampaign/reviews,crm
Zoho CRM,,4.1, Zoho,"['Owner', 'CEO', 'Owner', 'CEO']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/zoho-crm/reviews,crm
Bigin by Zoho CRM,,4.6, Zoho,"['CEO', 'Founder', 'CEO', 'Founder']","['Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising']",https://www.g2.com/products/bigin-by-zoho-crm/reviews,crm
HighLevel,,4.6, HighLevel,"['Owner', 'CEO', 'Owner', 'CEO']","['Marketing and Advertising', 'Consulting', 'Marketing and Advertising', 'Consulting']",https://www.g2.com/products/highlevel/reviews,crm
monday CRM,,4.6, monday.com,"['Project Manager', 'CEO', 'Project Manager', 'CEO']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/monday-crm/reviews,crm
CRMOne,,4.8, CrmOne,,"['Marketing and Advertising', 'Financial Services', 'Marketing and Advertising', 'Financial Services']",https://www.g2.com/products/crmone/reviews,crm
Brevo Marketing Platform,,4.5, Brevo,"['CEO', 'Founder', 'CEO', 'Founder']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/brevo-marketing-platform/reviews,crm
Mekari Qontak,,4.7, Mekari,,"['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/mekari-qontak/reviews,crm
LocaliQ,,4.5, USA TODAY Co.,"['Owner', 'Marketing Manager', 'Owner', 'Marketing Manager']","['Marketing and Advertising', 'Computer Software', 'Marketing and Advertising', 'Computer Software']",https://www.g2.com/products/localiq/reviews,crm
Less Annoying CRM,,4.9, Less Annoying Software,"['Owner', 'President', 'Owner', 'President']","['Insurance', 'Financial Services', 'Insurance', 'Financial Services']",https://www.g2.com/products/less-annoying-crm/reviews,crm
NetSuite,,4.1, Oracle,"['Controller', 'Accounting Manager', 'Controller', 'Accounting Manager']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/netsuite/reviews,crm
Creatio,,4.7, Creatio,"['CEO', 'CEO']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/creatio/reviews,crm
RSoft CRM,,5.0, RSoft,,"['Real Estate', 'Real Estate']",https://www.g2.com/products/rsoft-crm/reviews,crm
Freshsales,,4.5, Freshworks,"['CEO', 'Business Development Manager', 'CEO', 'Business Development Manager']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/freshsales/reviews,crm
OnePageCRM,,4.7, OnePageCRM,"['Founder', 'Managing Director', 'Founder', 'Managing Director']","['Non-Profit Organization Management', 'Marketing and Advertising', 'Non-Profit Organization Management', 'Marketing and Advertising']",https://www.g2.com/products/onepagecrm/reviews,crm
folk,,4.5, folk,"['CEO', 'Founder', 'CEO', 'Founder']","['Marketing and Advertising', 'Computer Software', 'Marketing and Advertising', 'Computer Software']",https://www.g2.com/products/folk-folk/reviews,crm
Knack,,4.3, Knack,,"['Construction', 'Information Technology and Services', 'Construction', 'Information Technology and Services']",https://www.g2.com/products/knack/reviews,crm
Nimble CRM,,4.5, Nimble,"['Owner', 'President', 'Owner', 'President']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/nimble/reviews,crm
Oracle EBS CRM,,3.9, Oracle,,"['Retail', 'Information Technology and Services', 'Retail', 'Information Technology and Services']",https://www.g2.com/products/oracle-ebs-crm/reviews,crm
Salesmate,,4.7, Salesmate,"['Owner', 'Owner']","['Marketing and Advertising', 'Computer Software', 'Marketing and Advertising', 'Computer Software']",https://www.g2.com/products/salesmate/reviews,crm
Salesflare,,4.8, Salesflare,"['CEO', 'Co-Founder', 'CEO', 'Co-Founder']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/salesflare/reviews,crm
Zoho CRM Plus,,4.4, Zoho,,"['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/zoho-crm-plus-2018-12-06/reviews,crm
Thryv,,4.3, Thryv,"['Owner', 'CEO', 'Owner', 'CEO']","['Marketing and Advertising', 'Health, Wellness and Fitness', 'Marketing and Advertising', 'Health, Wellness and Fitness']",https://www.g2.com/products/thryv/reviews,crm
Snov.io,,4.5, Snovio,"['Marketing Manager', 'CEO', 'Marketing Manager', 'CEO']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/snov-io/reviews,crm
Streak,,4.5, Streak,"['Engineer', 'Owner', 'Engineer', 'Owner']","['Marketing and Advertising', 'Computer Software', 'Marketing and Advertising', 'Computer Software']",https://www.g2.com/products/streak/reviews,crm
Salestarget.ai,,4.9, Salestarget LLC,"['CEO', 'CTO', 'CEO', 'CTO']","['Information Technology and Services', 'Information Technology and Services']",https://www.g2.com/products/salestarget-ai/reviews,crm
Constant Contact Advanced Automation,,4.4, Constant Contact,"['Owner', 'Marketing Manager', 'Owner', 'Marketing Manager']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/constant-contact-advanced-automation/reviews,crm
Odoo CRM,,4.1, Odoo,"['Business Development Manager', 'Business Development Manager']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/odoo-crm/reviews,crm
Pipeliner CRM,,4.6, Pipelinersales Inc.,"['President', 'Director', 'President', 'Director']","['Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising']",https://www.g2.com/products/pipeliner-crm/reviews,crm
AllClients,,4.6, AllClients,,"['Financial Services', 'Insurance', 'Financial Services', 'Insurance']",https://www.g2.com/products/allclients/reviews,crm
Maximizer,,4.0, Maximizer Software,"['Financial Advisor', 'Administrative Assistant', 'Financial Advisor', 'Administrative Assistant']","['Financial Services', 'Investment Management', 'Financial Services', 'Investment Management']",https://www.g2.com/products/maximizer/reviews,crm
Copper,,4.5, Copper,"['CEO', 'Owner', 'CEO', 'Owner']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/copper/reviews,crm
OctopusPro,,5.0, OctopusPro,"['CEO', 'CEO']","['Computer Software', 'Computer Software']",https://www.g2.com/products/octopuspro/reviews,crm
Efficy CRM,,4.5, Efficy,,"['Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising']",https://www.g2.com/products/efficy-crm/reviews,crm
Apptivo,,4.4, Apptivo,"['Owner', 'President', 'Owner', 'President']","['Marketing and Advertising', 'Construction', 'Marketing and Advertising', 'Construction']",https://www.g2.com/products/apptivo/reviews,crm
SuperOffice CRM,,4.4, SuperOffice AS,,"['Wholesale', 'Computer Software', 'Wholesale', 'Computer Software']",https://www.g2.com/products/superoffice-crm/reviews,crm
Sage CRM,,3.8, Sage Software,,"['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/sage-crm/reviews,crm
Membrain,,4.6, Membrain,"['CEO', 'CEO']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/membrain/reviews,crm
Success.ai,,4.8, Success AI,"['Virtual Assistant', 'Founder', 'Virtual Assistant', 'Founder']","['Marketing and Advertising', 'Information Technology and Services', 'Marketing and Advertising', 'Information Technology and Services']",https://www.g2.com/products/success-ai/reviews,crm
Pipeline CRM,,4.4, Pipeline CRM,"['Account Manager', 'President', 'Account Manager', 'President']","['Construction', 'Marketing and Advertising', 'Construction', 'Marketing and Advertising']",https://www.g2.com/products/pipeline-crm/reviews,crm
Bixjet,,4.8, Bixjet,"['Founder', 'Founder']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/bixjet/reviews,crm
Ohanafy,,5.0, Ohanafy,,"['Food & Beverages', 'Food & Beverages']",https://www.g2.com/products/ohanafy/reviews,crm
Oracle Siebel,,3.5, Oracle,"['Consultant', 'Customer Service Representative', 'Consultant', 'Customer Service Representative']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/oracle-siebel/reviews,crm
C2CRM,,4.6," Clear C2, Inc.",,"['Telecommunications', 'Hospital & Health Care', 'Telecommunications', 'Hospital & Health Care']",https://www.g2.com/products/c2crm/reviews,crm
Attio,,4.5, Attio,,"['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/attio/reviews,crm
Striven,,4.5, Miles IT,,"['Accounting', 'Construction', 'Accounting', 'Construction']",https://www.g2.com/products/striven-2024-03-26/reviews,crm
ChatGPT,,4.7, OpenAI,"['Student', 'Software Engineer', 'Student', 'Software Engineer']","['Information Technology and Services', 'Computer Software', 'Information Technology and Services', 'Computer Software']",https://www.g2.com/products/chatgpt/reviews,ai-chatbots
Notion,,4.6, Notion,"['Software Engineer', 'Student', 'Software Engineer', 'Student']","['Computer Software', 'Information Technology and Services', 'Computer Software', 'Information Technology and Services']",https://www.g2.com/products/notion/reviews,ai-chatbots
